"nombre","nombre href","partidos","tot","med","tot 2","med 2","tot 3","med 3","tot 4","med 4","tot 5","med 5","tot 6","med 6","tot 7","med 7","tot 8","med 8","tot 9","med 9","tot 10","med 10","tot 11","med 11","tot 12","med 12","tot 13","med 13","tot 14","med 14","tot 15","med 15","tot 16","med 16","tot 17","med 17","tot 18","med 18"
"MELILLA CIUDAD DEL DEPORTE LA SALLE","https://baloncestoenvivo.feb.es/Equipo.aspx?i=979770","8","1625","203","562","70,3","123/269","45,7%","73/214","34,1%","196/483","40,6%","97/132","73,5%","70","8,8","241","30,1","311","38,9","127","15,9","58","7,3","126","15,8","14","1,8","7","0,9","1","0,1","162","20,3","144","18","606","75,8"
"DOMUSA TEKNIK ISB","https://baloncestoenvivo.feb.es/Equipo.aspx?i=979912","8","1600","200","513","64,1","152/359","42,3%","38/154","24,7%","190/513","37%","95/135","70,4%","79","9,9","188","23,5","267","33,4","92","11,5","80","10","115","14,4","9","1,1","11","1,4","1","0,1","161","20,1","157","19,6","479","59,9"
"RECOLETAS ZAMORA","https://baloncestoenvivo.feb.es/Equipo.aspx?i=979919","7","1400","200","485","69,3","125/276","45,3%","34/141","24,1%","159/417","38,1%","133/174","76,4%","50","7,1","161","23","211","30,1","69","9,9","74","10,6","91","13","6","0,9","7","1","0","0","136","19,4","150","21,4","469","67"
"LA LAGUNA TOYOTA  ADAREVA","https://baloncestoenvivo.feb.es/Equipo.aspx?i=979952","7","1400","200","473","67,6","113/262","43,1%","51/158","32,3%","164/420","39%","94/113","83,2%","51","7,3","186","26,6","237","33,9","97","13,9","36","5,1","99","14,1","4","0,6","3","0,4","1","0,1","128","18,3","136","19,4","481","68,7"
"OSES CONSTRUCCION","https://baloncestoenvivo.feb.es/Equipo.aspx?i=979971","8","1600","200","554","69,3","129/274","47,1%","68/211","32,2%","197/485","40,6%","92/135","68,1%","70","8,8","189","23,6","259","32,4","112","14","75","9,4","90","11,3","13","1,6","12","1,5","0","0","159","19,9","159","19,9","592","74"
"FUSTECMA NBF CASTELLÓ","https://baloncestoenvivo.feb.es/Equipo.aspx?i=979988","7","1400","200","382","54,6","100/256","39,1%","40/180","22,2%","140/436","32,1%","62/109","56,9%","85","12,1","143","20,4","228","32,6","69","9,9","70","10","109","15,6","9","1,3","10","1,4","1","0,1","138","19,7","123","17,6","291","41,6"
"MCR LIMA-HORTA BARCELONA","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981206","8","1600","200","484","60,5","132/299","44,1%","46/168","27,4%","178/467","38,1%","82/141","58,2%","83","10,4","196","24,5","279","34,9","99","12,4","60","7,5","139","17,4","5","0,6","19","2,4","1","0,1","154","19,3","153","19,1","439","54,9"
"ALTER ENERSUN AL-QÁZERES EXTREMADURA","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981208","7","1400","200","475","67,9","119/260","45,8%","50/176","28,4%","169/436","38,8%","87/113","77%","69","9,9","154","22","223","31,9","98","14","61","8,7","104","14,9","4","0,6","11","1,6","0","0","118","16,9","128","18,3","474","67,7"
"AZULMARINO MALLORCA PALMA","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981213","8","1600","200","638","79,8","169/326","51,8%","54/175","30,9%","223/501","44,5%","138/203","68%","90","11,3","242","30,3","332","41,5","129","16,1","66","8,3","106","13,3","14","1,8","9","1,1","4","0,5","157","19,6","180","22,5","753","94,1"
"C.B. SANTFELIUENC","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981242","7","1400","200","431","61,6","100/255","39,2%","51/176","29%","151/431","35%","78/130","60%","62","8,9","162","23,1","224","32","95","13,6","49","7","108","15,4","8","1,1","16","2,3","0","0","142","20,3","129","18,4","354","50,6"
"SERNOVA RENOVABLES REAL CANOE","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981288","7","1400","200","424","60,6","111/247","44,9%","40/137","29,2%","151/384","39,3%","82/131","62,6%","53","7,6","169","24,1","222","31,7","77","11","45","6,4","123","17,6","18","2,6","9","1,3","1","0,1","109","15,6","130","18,6","402","57,4"
"CAJASOL BALONCESTO SEVILLA FEMENINO","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981306","8","1625","203","552","69","133/313","42,5%","50/169","29,6%","183/482","38%","136/208","65,4%","78","9,8","204","25,5","282","35,3","111","13,9","68","8,5","134","16,8","7","0,9","15","1,9","0","0","195","24,4","174","21,8","494","61,8"
"UNICAJA MIJAS","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981334","8","1600","200","616","77","146/320","45,6%","76/228","33,3%","222/548","40,5%","96/133","72,2%","121","15,1","216","27","337","42,1","139","17,4","67","8,4","116","14,5","19","2,4","11","1,4","0","0","157","19,6","152","19","694","86,8"
"LA CORDÁ DE PATERNA NB","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981346","7","1400","200","462","66","104/237","43,9%","58/186","31,2%","162/423","38,3%","80/120","66,7%","73","10,4","167","23,9","240","34,3","91","13","52","7,4","129","18,4","12","1,7","13","1,9","1","0,1","163","23,3","141","20,1","405","57,9"
"BOSONIT UNIBASKET","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981356","7","1425","203","445","63,6","100/281","35,6%","48/158","30,4%","148/439","33,7%","101/152","66,4%","70","10","178","25,4","248","35,4","75","10,7","60","8,6","77","11","15","2,1","3","0,4","2","0,3","141","20,1","150","21,4","433","61,9"
"CELTA  FEMXA ZORKA","https://baloncestoenvivo.feb.es/Equipo.aspx?i=981492","8","1625","203","566","70,8","168/371","45,3%","39/149","26,2%","207/520","39,8%","113/184","61,4%","75","9,4","196","24,5","271","33,9","110","13,8","84","10,5","97","12,1","8","1","9","1,1","1","0,1","168","21","168","21","558","69,8"